uid,video_path,question,answer,question_type,time_reference
127,q01CUy_gwdU.mp4,"What does the man do after he sees the woman for the third time?
(A) He runs a marathon
(B) He sleeps in his bed
(C) He draws the woman in the book
(D) He looks for the woman",C,['event understanding'],14:52-15:10
128,q01CUy_gwdU.mp4,"What does the woman do before throwing the Coca-Cola can into the air?
(A) She dances with people
(B) She throws her shoe away
(C) She walks barefoot
(D) She fights with a police",A,"['entity recognition', 'key information retrieval']",15:24-15:45
130,q01CUy_gwdU.mp4,"What does the woman do after she sees a rolling stone on the ground
(A) She runs away
(B) She goes to meet the man
(C) She throws her shoe away
(D) She dances with people",C,['event understanding'],23:36-24:09
132,q01CUy_gwdU.mp4,"Where do the man and the woman sit at where the woman is eating a pear?
(A) A river
(B) A fountain
(C) A street corner
(D) A park bench",B,"['event understanding', 'entity recognition']",28:11-28:56
133,q01CUy_gwdU.mp4,"What happens from 35:52-36:41?
(A) The woman goes to meet the man barefoot, but she is stopped by other people
(B) The woman goes to meet the man, but she is stopped by other people
(C) The woman goes to meet the man barefoot, but she is stopped by a car
(D) The woman goes to meet the man, but she is stopped by some dancers",B,"['summarization', 'temporal grounding']",35:52-36:41
134,q01CUy_gwdU.mp4,"How is the weather before the season transitions to winter?
(A) Rainy
(B) Windy
(C) Snowy
(D) Sunny",A,['event understanding'],37:08-37:19
135,q01CUy_gwdU.mp4,"What happens from 37:30-38:05?
(A) The man visits the places that he and the woman have been to before
(B) The man visits the new places
(C) The man visits the places that he and the woman have been to before, would like to go to, and new places
(D) The man visits the places that he and the woman would like to go to",A,"['temporal grounding', 'reasoning', 'event understanding']",37:30-38:05
136,q01CUy_gwdU.mp4,"When does the man meet the woman for the last time?
(A) Autumn
(B) Winter
(C) Spring
(D) Summer",C,['event understanding'],49:49-49:49
137,q01CUy_gwdU.mp4,"What happens to the woman in the man's imagery when she is not around?
(A) She becomes an angel
(B) She turns into an elvis
(C) She turns into a flower fairy
(D) She grows six more hands",C,"['event understanding', 'reasoning']",46:57-47:30
200,28CIeC8cZks.mp4,"What color hair do the two kids have in the video?
(A) Black
(B) Blue
(C) Green
(D) Red",C,['entity recognition'],00:55-01:20
201,28CIeC8cZks.mp4,"Where is the camera angle locate at 03:19 in the video?
(A) Behind the girl
(B) Above the girl
(C) In front of the girl
(D) Next to the girl",A,"['reasoning', 'entity recognition']",03:10-03:20
202,28CIeC8cZks.mp4,"What color is the necklace around the neck of the elderly person in the video?
(A) Blue
(B) Black
(C) Green
(D) Red",A,['entity recognition'],06:29-06:31
203,28CIeC8cZks.mp4,"Why does the girl wear a mask in the video?
(A) Because she's participating in a costume party
(B) Because it's a fashion statement
(C) She wants to know where someone is
(D) Because she's trying to hide her identity",C,['reasoning'],08:10-08:37
208,28CIeC8cZks.mp4,"What is on the head of the older brother of the two childreno?
(A) Headscarf
(B) Crown
(C) Helmet
(D) Hat",A,"['entity recognition', 'reasoning']",22:42-22:42
210,28CIeC8cZks.mp4,"What color are the balls held by the two people in the video?
(A) Black
(B) Blue
(C) Green
(D) Red",B,['entity recognition'],27:13-27:13
213,28CIeC8cZks.mp4,"What color light is emanating from the woman's arm at 36:05 in the video?
(A) Green
(B) Red
(C) Yellow
(D) Blue",D,"['temporal grounding', 'entity recognition']",36:05-36:15
214,28CIeC8cZks.mp4,"What does the girl use to find the person she is looking for in the video?
(A) Mask
(B) Tail
(C) Phone
(D) Car",A,"['event understanding', 'entity recognition']",00:00-63:48
218,28CIeC8cZks.mp4,"What color is the crystal on the object held by the girl?
(A) White
(B) Yellow
(C) Red
(D) Blue",D,['entity recognition'],59:04-59:04
219,28CIeC8cZks.mp4,"What color are the runes on the bottom of the girl's feet at 38:18 in the video?
(A) Golden
(B) White
(C) Red
(D) Black",A,"['temporal grounding', 'entity recognition']",38:19-38:19
221,28CIeC8cZks.mp4,"How many people are leaving by boat in the video?
(A) 2
(B) 4
(C) 0
(D) 1",D,['event understanding'],33:52-33:46
223,28CIeC8cZks.mp4,"The girl rescue a total of how many spirits?
(A) 5
(B) 2
(C) 4
(D) 3",C,['event understanding'],00:00-63:48
250,TJR1oYDDTwg.mp4,"What is the first word in the video?
(A) ENT
(B) NET
(C) TNE
(D) ETN",B,['key information retrieval'],00:00-00:06
251,TJR1oYDDTwg.mp4,"How many birds are there flying at the beginning of the video?
(A) 6
(B) 4
(C) 5
(D) 8",C,['entity recognition'],00:15-00:28
252,TJR1oYDDTwg.mp4,"How many doors have colored lights at 00:29?
(A) 2
(B) 1
(C) 3
(D) 0",C,"['entity recognition', 'reasoning']",00:29-00:35
253,TJR1oYDDTwg.mp4,"What is the character doing between 01:05-01:09?
(A) Tie the gift box
(B) Destroy the gift box
(C) Colour the gift box
(D) Stuff a gift box with something",A,['event understanding'],01:05-01:09
254,TJR1oYDDTwg.mp4,"What color are the clothes on the two men playing the trumpet?
(A) Blue
(B) Yellow
(C) Lilac
(D) Rose",C,['entity recognition'],01:53-01:56
255,TJR1oYDDTwg.mp4,"Does the Queen go first or does the king go first?
(A) Their children
(B) King
(C) Queen
(D) They walk side by side",C,"['reasoning', 'entity recognition']",02:00-02:07
257,TJR1oYDDTwg.mp4,"After the king talk to the green Dragon, who embraces the king?
(A) Prince
(B) Green dragon
(C) Queen
(D) Princess",A,['entity recognition'],05:18-05:22
258,TJR1oYDDTwg.mp4,"What are the patterns on the shawls of Kings and queens?
(A) Heart pattern
(B) Circle pattern
(C) Star pattern
(D) Fruit pattern",A,['entity recognition'],05:22-05:27
259,TJR1oYDDTwg.mp4,"What color are the teeth in the middle of the green dragon?
(A) Yellow
(B) Aqua
(C) Brown
(D) Faint yellow",D,['entity recognition'],06:17-06:21
264,TJR1oYDDTwg.mp4,"What happens when the villain's mirror breaks?
(A) The mirror fragments automatically fuse on the ground into a whole mirror again
(B) The mirror fragments cut the villain's hand
(C) The mirror fragments are thrown away by the villains
(D) The mirror fragments fly into the sky",D,['event understanding'],09:49-09:56
266,TJR1oYDDTwg.mp4,"Who save the green dragon from the net?
(A) Villain
(B) Prince
(C) Pink dragon
(D) Princess",B,['entity recognition'],12:40-13:10
267,TJR1oYDDTwg.mp4,"Who grasps the villain in the net?
(A) Green dragon and light blue dragon
(B) Yellow dragon and light blue dragon
(C) The prince and the pink dragon
(D) Yellow dragon and pink dragon",B,['entity recognition'],13:28-13:32
268,TJR1oYDDTwg.mp4,"How does the villain follow the prince, princess and dragon?
(A) Run after
(B) Pilot a plane
(C) Drive a car
(D) Ride a bike",C,['event understanding'],14:57-16:25
273,TJR1oYDDTwg.mp4,"What instruments do the prince and princess play respectively during the performance?
(A) Both the prince and the princess are playing the guitar
(B) The prince is playing the guitar and the princess is playing the drum set
(C) The prince is playing the guitar and the princess is playing the piano
(D) The prince plays the drum set and the princess plays the guitar",D,['entity recognition'],20:04-20:13
274,TJR1oYDDTwg.mp4,"When the prince and princess play, the green dragon is singing in the sky while dropping what?
(A) Tree leaf
(B) Star
(C) Snowflake
(D) Flower",D,['entity recognition'],20:14-20:18
277,TJR1oYDDTwg.mp4,"Why is the king so happy after using the telescope?
(A) Because the king is curious about binoculars
(B) Because he sees his children greeting him
(C) Because he sees the first prize
(D) The villain makes a fool of himself because his sleigh caught fire",D,['event understanding'],38:04-38:13
278,TJR1oYDDTwg.mp4,"What festival are they celebrating?
(A) Mid-Autumn Festival
(B) Christmas Day
(C) All Saints' Day
(D) Valentine's day",B,['reasoning'],21:21-23:15
279,TJR1oYDDTwg.mp4,"What is on the green dragon at 27:08?
(A) Black scarf
(B) Red scarf
(C) Green scarf
(D) Yellow scarf",D,"['entity recognition', 'temporal grounding']",27:08-27:12
398,HfEVEGf1A8Q.mp4,"Who gets the lollipop last?
(A) Frankenstein
(B) Zombie
(C) Vampire
(D) Dokkaebi",B,['entity recognition'],08:45-10:00
399,HfEVEGf1A8Q.mp4,"Why doesn't the vampire want the lollipop?
(A) Because he thinks it is child who eat lollipop
(B) Because he can't eat lollipop
(C) Because he doesn't like lollipop
(D) Because he thinks the lollipop is dirty",D,"['reasoning', 'event understanding']",10:05-10:43
401,HfEVEGf1A8Q.mp4,"When is the school let out in the afternoon?
(A) 2:00 pm
(B) 3:30 pm
(C) 2:30 pm
(D) 3:00 pm",A,['key information retrieval'],13:40-13:50
402,HfEVEGf1A8Q.mp4,"What does the vampire do when the girl first finds him?
(A) Hide in the cabinet
(B) Return the phone
(C) Drink tomato juice
(D) Clean the desk",D,['event understanding'],14:00-14:15
403,HfEVEGf1A8Q.mp4,"What happens in the vampire's dream after he faints in front of the girl?
(A) The girl ties him to a tree and washes him
(B) The girl ties him to a cross and burns him
(C) The girl ties him to a cross and washes him
(D) The girl ties him to a tree and burns him",D,['event understanding'],14:30-15:00
407,HfEVEGf1A8Q.mp4,"Why the girl faints after the Frankenstein enters the room in the night she hides in the cabinet?
(A) She is scared by a ghost hunter
(B) She is scared by a zombie's head
(C) She is scared by a vampire
(D) She is scared by the Frankenstein",B,['reasoning'],24:00-24:25
410,HfEVEGf1A8Q.mp4,"Why does vampire bang his head on a table?
(A) He have no money to compensate
(B) The girl is noisy and doesn't study hard
(C) He is hungry
(D) He is nervous",B,['reasoning'],35:30-35:40
412,HfEVEGf1A8Q.mp4,"Where does the girl take the vampire after the exam?
(A) A playground
(B) Her home
(C) The principal room
(D) A park",D,['event understanding'],46:00-47:20
414,HfEVEGf1A8Q.mp4,"What happens to the girl and the vampire?
(A) The vampire breaks the girl's game console but has no money to compensate, so he can only help the girl study. In the end, they become good friends
(B) The vampire breaks the girl's game console but has no money to compensate, so he can only work in labor to earn money with the girl. In the end, they become good friends
(C) The vampire breaks the girl's cell phone but has no money to compensate, so he can only work in labor to earn money with the girl. In the end, they become good friends
(D) The vampire breaks the girl's cell phone but has no money to compensate, so he can only help the girl study. In the end, they become good friends",D,['summarization'],13:14-53:28
416,HfEVEGf1A8Q.mp4,"What does dokkaebi do after dancing alone?
(A) Vomit
(B) Play music
(C) Sing
(D) Eat lollipop",A,['entity recognition'],57:20-57:41
417,HfEVEGf1A8Q.mp4,"How many monsters does the ghost hunter capture first?
(A) 3
(B) 6
(C) 5
(D) 4",D,"['entity recognition', 'event understanding']",58:17-58:35
419,HfEVEGf1A8Q.mp4,"Who stop the ghost hunter at last?
(A) Skeleton
(B) The human girl
(C) Principal
(D) Vampire",D,"['entity recognition', 'event understanding']",73:01-74:21
421,HfEVEGf1A8Q.mp4,"Who is the director of this video?
(A) Bong Ho Kim
(B) Bong Joon Ho
(C) Mike Yangtzi
(D) Jin Kum",A,['key information retrieval'],77:53-78:00
503,2sriHX3PbXw.mp4,"How many round glasses are there in the round frame above the house?
(A) 7
(B) 5
(C) 6
(D) 8",A,['entity recognition'],00:00-00:53
506,2sriHX3PbXw.mp4,"What are running around the street?
(A) Rabbit
(B) Spider
(C) Cat
(D) Mouse",D,['entity recognition'],02:33-02:35
508,2sriHX3PbXw.mp4,"Why do the two women break down and cover their ears?
(A) Because they can not finish the chores
(B) Because the neighbor is renovating the house
(C) Because there are dogs everywhere
(D) Because there are rats everywhere",D,['event understanding'],03:12-03:20
509,2sriHX3PbXw.mp4,"How many mice run across the roof above the street?
(A) 5
(B) 2
(C) 3
(D) 1",B,"['entity recognition', 'event understanding']",03:46-03:47
510,2sriHX3PbXw.mp4,"There is a group of people wearing the same outfit, lining up in a line across the street. How many people are there
(A) 8
(B) 6
(C) 5
(D) 4",B,['entity recognition'],04:16-04:20
511,2sriHX3PbXw.mp4,"After two groups of people collide, which direction do the six people wearing the same outfit go to?
(A) All but one go in the opposite direction
(B) To the opposite direction of the other group
(C) To the same direction as the other group
(D) Some go to the opposite direction of the other group, some go to the same direction as the other group",C,['event understanding'],04:41-04:42
513,2sriHX3PbXw.mp4,"How do people in the government communicate with everyone?
(A) They use a telephone hotline
(B) They sit face to face and talk
(C) They communicate through the government window
(D) They utilize the email listed on the website",C,['event understanding'],05:24-05:32
514,2sriHX3PbXw.mp4,"How many people are there in the government?
(A) 7
(B) 8
(C) 6
(D) 5",A,['entity recognition'],06:25-06:32
516,2sriHX3PbXw.mp4,"When the people in the government are thinking, what kind of person comes into the meeting room?
(A) A person without a nose
(B) A person with a particularly long nose
(C) A person with colorful hat
(D) A person in a tall hat",B,"['entity recognition', 'event understanding']",08:40-08:45
517,2sriHX3PbXw.mp4,"What kind of flying creatures can the person summon with a flute?
(A) Bat
(B) Butterfly
(C) Eagle
(D) Sparrow",A,['entity recognition'],10:48-10:50
522,2sriHX3PbXw.mp4,"How much does the man with a long nose get paid?
(A) A gold coin
(B) He gets nothing
(C) Three gold coins
(D) A bag of gold coins",A,['entity recognition'],19:41-19:50
527,2sriHX3PbXw.mp4,"One of the events for the celebration is a number of people riding on top of each other and performing acrobatics. How many people are there?
(A) 5
(B) 3
(C) 2
(D) 4",B,['entity recognition'],17:45-17:48
528,2sriHX3PbXw.mp4,"After the performance of three people riding on top of each other, what's the next performance?
(A) Dance performance
(B) Nunchaku performance
(C) Somersault performance
(D) Kite flying performance",B,['event understanding'],17:48-17:58
529,2sriHX3PbXw.mp4,"What is the image of the government?
(A) Irresponsible and stingy
(B) Accountable but poor
(C) Friendly but unorganized
(D) Wealthy and responsible",A,['reasoning'],00:00-30:22
531,2sriHX3PbXw.mp4,"Who is the narrator?
(A) John Hambley
(B) Robert Hardy
(C) Chris Walker
(D) David Rohl",B,['key information retrieval'],29:24-29:24
532,2sriHX3PbXw.mp4,"Where does the man with long nose spend his night?
(A) In an inn
(B) In a moutain
(C) Near a river
(D) On the roof of the government building",C,"['entity recognition', 'event understanding']",16:04-17:20
651,_zrgbA3FMVE.mp4,"What instruments are already on the stage before the actors come on?
(A) Harp
(B) Bass
(C) Drum kit
(D) Piano",C,['entity recognition'],00:27-00:33
653,_zrgbA3FMVE.mp4,"How does the red-haired girl who plays bass look from 01:42-01:47?
(A) Angry
(B) Boring
(C) Amazed
(D) Excited",C,"['event understanding', 'reasoning', 'temporal grounding']",01:42-01:47
654,_zrgbA3FMVE.mp4,"What color vest is the man lifting weights wearing?
(A) Green
(B) Blue
(C) Orange
(D) Yellow",A,['entity recognition'],03:09-03:12
657,_zrgbA3FMVE.mp4,"Why does the three girls run?
(A) They are chasing the escaped pig
(B) They are afraid of being hit by a giant green cylinder
(C) They are comparing the running speed
(D) They are being chased by a man with a gun",B,['event understanding'],06:15-06:55
658,_zrgbA3FMVE.mp4,"What does the three girls do between 07:48-07:50?
(A) They are bowing
(B) They are hugging
(C) They are dancing
(D) They are shaking hands",D,"['event understanding', 'temporal grounding']",07:48-07:50
659,_zrgbA3FMVE.mp4,"What is the license plate number of the purple car driven by a woman with long black hair?
(A) Mandy
(B) Erica
(C) Lucy
(D) Angela",A,"['key information retrieval', 'entity recognition']",08:10-08:15
660,_zrgbA3FMVE.mp4,"After the girl with long black hair presses the wrench on the machine, what picture appears?
(A) Three apple icons appear
(B) Three milk carton icons appear
(C) Three cherry icons appear
(D) Three ice cream icons appear",D,['entity recognition'],11:34-11:39
661,_zrgbA3FMVE.mp4,"What are two men in suits doing in front of a screen?
(A) They are playing video games
(B) They are watching movies on the screen
(C) They are watching variety shows
(D) They are spying on three girls",D,['event understanding'],14:05-14:22
663,_zrgbA3FMVE.mp4,"After returning to school through the slide, where does the girl with orange hair appear?
(A) In the vending machine
(B) In a car
(C) School toilet
(D) In the trash can",D,['event understanding'],17:45-18:00
664,_zrgbA3FMVE.mp4,"What happens when the boy at the vending machine is about to press the button?
(A) The girl with long purple hair appears in the vending machine
(B) The girl with long red hair appears in the vending machine
(C) The girl with long black hair appears in the vending machine
(D) The girl with short blond hair appears in the vending machine",D,['event understanding'],17:49-17:55
665,_zrgbA3FMVE.mp4,"What letter appears on the computer after the girl with orange hair comes down from the bed and turns on the computer?
(A) M
(B) N
(C) V
(D) W",D,"['key information retrieval', 'event understanding']",21:07-21:15
666,_zrgbA3FMVE.mp4,"Where is the girl with short blond hair taken by two men in suits wearing sunglasses?
(A) Hospital
(B) School
(C) Hotel
(D) Prison",D,['event understanding'],22:10-22:30
667,_zrgbA3FMVE.mp4,"Where are the three girls transported?
(A) On the spaceship
(B) On the car
(C) On the plane
(D) On the ship",C,['event understanding'],23:25-24:08
668,_zrgbA3FMVE.mp4,"Why does the boat where the man with gray hair in a suit sink into the river?
(A) Because the girl with long black hair throws an explosive charge on his boat
(B) Because the girl with short black hair throws an explosive charge on his boat
(C) Because the girl with short red hair throws an explosive charge on his boat
(D) Because the girl with short blond hair throws an explosive charge on his boat",D,['entity recognition'],24:45-24:53
670,_zrgbA3FMVE.mp4,"What happens after three girls got on motorcycles?
(A) Robots are chasing them and shooting them with black light
(B) Robots are chasing them and shooting them with yellow light
(C) Robots are chasing them and shooting them with green light
(D) Robots are chasing them and shooting them with yellow light",C,"['event understanding', 'entity recognition']",26:19-26:35
671,_zrgbA3FMVE.mp4,"What are the green numbers that appear between 36:05-36:06?
(A) 59.9
(B) 9.59
(C) 5.95
(D) 99.5",B,"['temporal grounding', 'key information retrieval']",36:05-36:06
673,_zrgbA3FMVE.mp4,"What changes do the people in the hall share?
(A) Their hair is partly green
(B) Their hair is partly light yellow
(C) Their hair is partly light blue
(D) Their hair is partly red",B,"['entity recognition', 'reasoning']",36:50-37:16
674,_zrgbA3FMVE.mp4,"How many knives are hanging on the wall of the kitchen where the chef is?
(A) 8
(B) 6
(C) 11
(D) 9",A,['entity recognition'],46:35-46:38
842,TiQBTesZUJQ.mp4,"There is a scene of of cutting trees to get the sap in the video. Immediately after it there is a scene of man's arm. What's tattooed on the man's arm?
(A) A skull and bones
(B) A cat
(C) A word
(D) A Dog",A,"['entity recognition', 'event understanding']",06:23-06:23
843,TiQBTesZUJQ.mp4,"When do animals move out?
(A) Noon
(B) Night
(C) Early morning
(D) Morning",B,['reasoning'],08:45-09:00
847,TiQBTesZUJQ.mp4,"What is the most likely animal the men try to hunt at 13:13?
(A) Fish
(B) Lamb
(C) Deer
(D) Wild boar",D,"['event understanding', 'temporal grounding', 'reasoning']",13:30-13:39
848,TiQBTesZUJQ.mp4,"The video contains lots of ___ clips.
(A) Marine
(B) Plateau
(C) Rain forest
(D) Forest",C,"['event understanding', 'entity recognition']",07:00-17:00
850,TiQBTesZUJQ.mp4,"What tool do people use to pick up a sticky, white to transparent food substance?
(A) Chopsticks
(B) Spoon
(C) Spatulas
(D) Syringes",A,['entity recognition'],19:02-19:03
851,TiQBTesZUJQ.mp4,"What are the people going to do from 16:30-16:35?
(A) Swimming
(B) Rowing
(C) Fishing
(D) Diving",C,"['event understanding', 'temporal grounding']",16:30-17:15
854,TiQBTesZUJQ.mp4,"What kind of transportation do the people carry on the boat?
(A) Car
(B) Bike
(C) Motocycle
(D) Skateboard",C,['entity recognition'],31:02-32:00
855,TiQBTesZUJQ.mp4,"What happens between 22:17-42:05?
(A) Reporter spends three months with the Penan people, understanding their psychological characteristics and documenting the lifestyle of some Penan people living in the city
(B) Reporter spends three months with the Penan people, learning about their history, lifestyle, how to hunt, how to use darts, and also documented the lifestyle of some Penan people living in the city
(C) Reporter spends three months with the Penan people, learning about their history, lifestyle, how to hunt, how to use darts, and also recorded the lifestyle of some Penan people living in the village
(D) Reporter spends three months with the Penan people, understanding their psychological characteristics and recording the lifestyle of some of the Penan people living in the countryside",C,"['summarization', 'temporal grounding']",22:17-42:05
856,TiQBTesZUJQ.mp4,"One of the woman give the reporter a kind of beverage in a glass cup, that is ___.
(A) Voldka
(B) Sparkling water
(C) Spirte
(D) Rice wine",D,"['entity recognition', 'key information retrieval']",32:40-33:00
857,TiQBTesZUJQ.mp4,"What is Saya's daughter doing at 34:22?
(A) Playing with toys
(B) Writing homework
(C) Scratching her leg
(D) Playing with monkey",D,"['entity recognition', 'temporal grounding', 'event understanding']",34:22-34:22
858,TiQBTesZUJQ.mp4,"There is a close-up scene of a woman doing something on a leaf. She is ___.
(A) Making a fire
(B) Peeling a tree
(C) Sharpening a knife
(D) Making a food",A,['event understanding'],38:00-39:00
859,TiQBTesZUJQ.mp4,"___ is an insect appears in the video.
(A) Mantis
(B) Scorpion
(C) Spider
(D) Cockroach",B,['entity recognition'],39:49-39:49
860,TiQBTesZUJQ.mp4,"What kind of transportation does the reporter use to leave the tribe?
(A) Boat
(B) Bike
(C) Motorcycle
(D) Car",D,"['entity recognition', 'event understanding']",39:00-41:00
869,TiQBTesZUJQ.mp4,"What might the reporter do?
(A) Plan to visit the Penan tribe in the near future
(B) Plan to live in the Penan tribe in the distant future
(C) Plan to live in the Penan tribe in the near future
(D) Plan to visit the Penan tribe in the more distant future",D,['reasoning'],51:00-52:00
898,5dZ_lvDgevk.mp4,"Who is the man wearing glasses, a black suit, and a blue patterned tie?
(A) Ma Huateng
(B) Jack Ma
(C) Li Kaifu
(D) Robin Li",C,['entity recognition'],13:17-13:17
899,5dZ_lvDgevk.mp4,"What type of video is this?
(A) A technology documentary
(B) A news report
(C) A travel documentary
(D) A travel vlog",A,['event understanding'],00:00-114:16
900,5dZ_lvDgevk.mp4,"What is the label on the toggle switch button after the first driver sitting in a truck without driving in chapter 2 'The promise' of the video?
(A) Engaged
(B) Technology
(C) Embark
(D) Speed",A,['key information retrieval'],22:35-22:35
901,5dZ_lvDgevk.mp4,"Is the autonomous vehicle driving scene after a man in black said something real or simulated?
(A) The scene is filmed in reality
(B) The scene is a simulated representation of reality
(C) This scene has neither simulation nor reality
(D) This scene has both simulation and real-life scenarios",A,['reasoning'],21:44-25:52
903,5dZ_lvDgevk.mp4,"What is the relationship between the first two people appear in the video after the appearance of blue words 'TRUCK WASH' on a blue factory?
(A) Colleagues
(B) Husband and wife
(C) Interviewer and interviewee
(D) Brother and sister",C,['reasoning'],37:00-42:00
